Frame,Time (Sec),Y (mm),Z (mm),Layer,MP Area,MP Eccentricity,Tmax,Row,Column,Porosity Label,Porosity Size (mm)
185,53.05,48.4,3.06,7,620,0.5031777388996723,1728,103,92,0,0.0
186,53.2,50.33,3.06,7,410,0.3509050810516576,1706,102,93,0,0.0
187,53.35,52.27,3.06,7,665,0.4233457544449486,1747,106,92,0,0.0
188,53.5,54.21,3.06,7,398,0.3855186370616437,1707,103,93,0,0.0
189,53.66,56.14,3.06,7,551,0.3794968625321142,1729,103,92,0,0.0
190,53.81,58.08,3.06,7,450,0.2292141449852479,1715,102,93,0,0.0
191,58.23,0.0,3.57,8,829,0.4073283134128075,1733,99,95,0,0.0
192,58.38,1.936,3.57,8,746,0.4113115817112767,1730,100,95,0,0.0
193,58.54,3.872,3.57,8,723,0.4718576873872324,1720,101,91,0,0.0
194,58.69,5.808,3.57,8,861,0.4055452686817475,1740,103,92,0,0.0
195,58.84,7.744,3.57,8,782,0.4848258332335728,1733,101,91,0,0.0
196,58.99,9.68,3.57,8,946,0.5260289659310092,1748,103,93,0,0.0
197,59.14,11.62,3.57,8,930,0.4536753330880312,1745,102,92,0,0.0
198,59.3,13.55,3.57,8,952,0.5087091805874037,1757,102,91,0,0.0
199,59.45,15.49,3.57,8,835,0.5229940990458053,1758,103,92,0,0.0
200,59.6,17.42,3.57,8,1013,0.3670746286214031,1758,101,94,0,0.0
201,59.75,19.36,3.57,8,554,0.3867369644574142,1725,103,94,0,0.0
202,59.91,21.3,3.57,8,524,0.4410280925793706,1717,99,94,0,0.0
203,60.06,23.23,3.57,8,605,0.4915408156645465,1723,100,95,0,0.0
204,60.21,25.17,3.57,8,465,0.3051846808790059,1714,99,95,0,0.0
205,60.36,27.1,3.57,8,501,0.4008710243888213,1719,101,94,0,0.0
206,60.52,29.04,3.57,8,419,0.4832211220913887,1710,103,91,0,0.0
207,60.67,30.97,3.57,8,675,0.3839355146358644,1736,101,94,0,0.0
208,60.82,32.91,3.57,8,781,0.4530915770699883,1766,105,94,0,0.0
209,60.97,34.85,3.57,8,685,0.4469719867976688,1748,99,95,0,0.0
210,61.13,36.78,3.57,8,532,0.4583260819790202,1730,102,95,0,0.0
211,61.28,38.72,3.57,8,552,0.4308812268310611,1735,104,93,0,0.0
212,61.43,40.65,3.57,8,479,0.478059646395104,1722,101,94,0,0.0
213,61.58,42.59,3.57,8,554,0.3431295905482818,1740,104,93,0,0.0
214,61.74,44.53,3.57,8,570,0.3717177627432605,1741,103,94,0,0.0
215,61.89,46.46,3.57,8,297,0.4562034691054865,1694,102,93,0,0.0
216,62.04,48.4,3.57,8,7274,0.5685963444422713,1852,107,116,1,0.05
217,66.31,0.0,4.08,9,1210,0.38004955987623,1776,106,95,0,0.0
218,66.46,1.936,4.08,9,933,0.5125515636635358,1744,100,95,0,0.0
219,66.61,3.872,4.08,9,750,0.3782803780425749,1735,102,91,0,0.0
220,66.77,5.808,4.08,9,1655,0.2235409239086997,1796,98,96,0,0.0
221,66.92,7.744,4.08,9,888,0.4197099103639019,1751,104,93,0,0.0
222,67.07,9.68,4.08,9,610,0.2417548510429849,1729,100,95,0,0.0
223,67.22,11.62,4.08,9,764,0.48069502421665,1745,104,93,0,0.0
224,67.38,13.55,4.08,9,363,0.4119425819506776,1691,101,93,0,0.0
225,67.53,15.49,4.08,9,647,0.404817549922879,1733,102,94,0,0.0
226,67.68,17.42,4.08,9,592,0.52515854929322,1728,102,95,0,0.0
227,67.83,19.36,4.08,9,546,0.4677860866370713,1720,101,94,0,0.0
228,67.99,21.3,4.08,9,431,0.4379655572665826,1716,100,95,0,0.0
229,68.14,23.23,4.08,9,604,0.4749561171237323,1738,101,95,0,0.0
230,68.29,25.17,4.08,9,572,0.4724677699724329,1734,102,93,0,0.0
231,68.44,27.1,4.08,9,537,0.4281356045431301,1734,103,95,0,0.0
232,68.6,29.04,4.08,9,963,0.380281614081543,1776,105,93,0,0.0
233,68.75,30.97,4.08,9,600,0.1978245520488031,1733,103,93,0,0.0
234,68.9,32.91,4.08,9,604,0.3763324520823643,1741,104,93,0,0.0
235,69.05,34.85,4.08,9,501,0.4456619735910833,1736,101,93,0,0.0
236,69.21,36.78,4.08,9,493,0.4528419143335465,1733,103,94,0,0.0
237,69.36,38.72,4.08,9,217,0.6415081943465082,1693,102,97,0,0.0
238,73.78,0.0,4.59,10,1093,0.4926139859501525,1752,103,90,0,0.0
239,73.93,1.936,4.59,10,594,0.4162112547525201,1723,101,91,0,0.0
240,74.08,3.872,4.59,10,881,0.5974597150879282,1746,99,94,0,0.0
241,74.24,5.808,4.59,10,787,0.3759280035823365,1739,102,94,0,0.0
242,74.39,7.744,4.59,10,837,0.5495971882404851,1756,102,94,0,0.0
243,74.54,9.68,4.59,10,1017,0.4498671714696054,1763,102,94,0,0.0
244,74.69,11.62,4.59,10,728,0.4630284073620305,1742,102,98,0,0.0
245,74.85,13.55,4.59,10,919,0.5286058719065141,1767,102,95,0,0.0
246,75.0,15.49,4.59,10,442,0.3991587563542575,1710,101,91,0,0.0
247,75.15,17.42,4.59,10,548,0.3877447768569148,1721,103,90,0,0.0
248,75.3,19.36,4.59,10,524,0.4922477886008476,1714,102,91,0,0.0
249,75.46,21.3,4.59,10,701,0.475947786860688,1737,101,96,0,0.0
250,75.61,23.23,4.59,10,524,0.392867124907866,1729,99,95,0,0.0
251,75.76,25.17,4.59,10,601,0.3859668610671438,1730,102,93,0,0.0
252,75.91,27.1,4.59,10,495,0.4095150529256924,1722,102,92,0,0.0
253,76.07,29.04,4.59,10,680,0.4463257681155486,1745,102,95,0,0.0
254,76.22,30.97,4.59,10,755,0.5202045829415693,1759,103,96,0,0.0
255,76.37,32.91,4.59,10,510,0.4988048352662856,1727,102,94,0,0.0
256,76.52,34.85,4.59,10,453,0.5724484520496499,1714,102,94,0,0.0
257,76.67,36.78,4.59,10,372,0.4558897059811111,1705,101,97,0,0.0
258,76.83,38.72,4.59,10,460,0.4698440190796361,1723,102,96,0,0.0
259,76.98,40.65,4.59,10,489,0.4710304145398757,1726,101,95,0,0.0
260,77.13,42.59,4.59,10,570,0.4748840526653528,1736,101,95,0,0.0
261,77.28,44.53,4.59,10,440,0.4564783193117526,1714,100,92,0,0.0
262,77.44,46.46,4.59,10,542,0.3223516346223425,1734,101,95,0,0.0
263,77.59,48.4,4.59,10,446,0.3754665992375479,1723,101,95,0,0.0
264,77.74,50.33,4.59,10,286,0.4836616290393962,1699,102,91,0,0.0
265,77.89,52.27,4.59,10,767,0.4255525331275619,1760,104,93,0,0.0
266,81.4,0.0,5.1,11,1139,0.3581234347815329,1758,102,93,0,0.0
267,81.55,1.936,5.1,11,1162,0.4737657283982985,1778,102,94,0,0.0
268,81.71,3.872,5.1,11,1337,0.3204421213969208,1783,101,97,0,0.0
269,81.86,5.808,5.1,11,958,0.243648761214661,1766,105,94,0,0.0
270,82.01,7.744,5.1,11,1036,0.3524461329612798,1773,102,93,0,0.0
271,82.16,9.68,5.1,11,829,0.5431182561237514,1755,101,96,0,0.0
272,82.31,11.62,5.1,11,781,0.4496375378590424,1757,103,94,0,0.0
273,82.47,13.55,5.1,11,747,0.5535249979520872,1738,103,94,0,0.0
