Frame,Min_Temp,Max_Temp,Mean_Temp,Std_Temp,Median_Temp,Q1,Q3,IQR,Skewness,Kurtosis,High_Temp_Pixels,Porosity Label
Frame_526.csv,1112.0,1769.0,1264.9775,112.00027,1213.0,1200.0,1308.0,108.0,1.8259047,3.4455655,3584,0
Frame_527.csv,1071.0,1729.0,1243.3827,105.21319,1195.0,1183.0,1281.0,98.0,1.8931233,3.8612485,3458,0
Frame_528.csv,1098.0,1751.0,1252.7778,114.44345,1209.0,1184.0,1297.0,113.0,1.7610838,3.1051798,3536,0
Frame_529.csv,1096.0,1773.0,1263.3011,107.50906,1218.0,1195.0,1302.0,107.0,1.9994179,4.3833213,3433,0
Frame_53.csv,1135.0,1723.0,1345.954,100.45411,1309.0,1285.0,1391.0,106.0,1.485254,1.7757035,4007,0
Frame_530.csv,1116.0,1762.0,1271.8215,110.29794,1230.0,1205.0,1314.0,109.0,1.7223347,3.0179403,3542,0
Frame_531.csv,1058.0,1726.0,1230.3066,109.230354,1180.0,1167.0,1271.0,104.0,1.8242319,3.5197794,3430,0
Frame_532.csv,1058.0,1763.0,1232.9683,111.56022,1192.0,1168.0,1264.0,96.0,1.9957064,4.2978578,3501,0
Frame_533.csv,1068.0,1722.0,1241.5652,106.69193,1193.0,1180.0,1278.0,98.0,1.8019341,3.329214,3734,0
Frame_534.csv,1078.0,1745.0,1222.8972,108.887474,1174.0,1162.0,1257.0,95.0,2.0413377,4.5686197,3377,0
Frame_535.csv,1066.0,1745.0,1238.4382,107.19038,1191.0,1178.0,1268.0,90.0,1.9440992,4.054592,3493,0
Frame_536.csv,1076.0,1772.0,1251.4944,109.19642,1202.0,1189.0,1288.0,99.0,1.9147269,4.0485296,3331,0
Frame_537.csv,1083.0,1751.0,1231.5122,109.29859,1180.0,1168.0,1271.0,103.0,1.9055097,4.0040584,3308,0
Frame_538.csv,1154.0,1670.0,1303.6151,70.60217,1275.0,1262.0,1319.0,57.0,1.7078184,3.4480891,4134,1
Frame_539.csv,1087.0,1710.0,1250.8043,91.261665,1227.0,1215.0,1238.0,23.0,2.8772333,8.423728,3214,1
Frame_54.csv,1152.0,1760.0,1345.9158,109.32908,1306.0,1278.0,1390.0,112.0,1.5804558,2.0843482,3836,0
Frame_540.csv,1105.0,1739.0,1292.0228,111.04858,1249.0,1223.0,1342.0,119.0,1.5929734,2.3009267,3734,0
Frame_541.csv,1134.0,1794.0,1324.2627,114.918015,1272.0,1258.0,1367.0,109.0,1.6838224,2.5909107,3909,0
Frame_542.csv,1102.0,1778.0,1285.9691,113.86965,1233.0,1220.0,1331.0,111.0,1.7549987,3.0447538,3511,0
Frame_543.csv,1124.0,1766.0,1281.7694,115.17277,1239.0,1214.0,1316.0,102.0,1.8097824,3.1069825,3843,0
Frame_544.csv,1100.0,1753.0,1288.9528,116.45465,1243.0,1218.0,1336.0,118.0,1.6194779,2.2671328,3845,0
Frame_545.csv,1099.0,1784.0,1285.659,118.301094,1229.0,1216.0,1327.0,111.0,1.7666054,2.9334486,3682,0
Frame_546.csv,1120.0,1774.0,1296.4551,109.14818,1246.0,1223.0,1340.0,117.0,1.7731106,3.2171679,3533,0
Frame_547.csv,1115.0,1750.0,1271.0919,114.14986,1230.0,1204.0,1305.0,101.0,1.7675921,2.918958,3835,0
Frame_548.csv,1125.0,1767.0,1279.948,111.416504,1228.0,1215.0,1325.0,110.0,1.7971478,3.3521276,3419,0
Frame_549.csv,1072.0,1719.0,1249.7711,109.966995,1210.0,1185.0,1283.0,98.0,1.747374,2.885969,3825,0
Frame_55.csv,1109.0,1704.0,1292.971,103.56563,1254.0,1228.0,1332.0,104.0,1.6080794,2.2223823,3952,0
Frame_550.csv,1100.0,1731.0,1265.3884,104.59261,1222.0,1199.0,1300.0,101.0,1.8617688,3.4588714,3742,0
Frame_551.csv,1110.0,1750.0,1264.024,110.57076,1223.0,1198.0,1306.0,108.0,1.7608598,3.0958626,3725,0
Frame_552.csv,1042.0,1695.0,1209.2507,103.77296,1161.0,1149.0,1250.0,101.0,1.8758459,3.83133,3476,0
Frame_553.csv,1067.0,1723.0,1245.8229,112.31643,1203.0,1179.0,1291.0,112.0,1.7280022,2.84265,3637,0
Frame_554.csv,1126.0,1804.0,1285.5309,114.96959,1242.0,1216.0,1334.0,118.0,1.8322637,3.5347974,3447,0
Frame_555.csv,1106.0,1768.0,1260.3436,111.46887,1219.0,1194.0,1308.0,114.0,1.8489254,3.6250715,3444,0
Frame_556.csv,1118.0,1820.0,1277.219,120.64524,1232.0,1207.0,1323.0,116.0,1.8711443,3.5960941,3469,0
Frame_557.csv,1090.0,1786.0,1257.4285,110.603035,1211.0,1188.0,1287.0,99.0,2.0704002,4.6620383,3389,0
Frame_558.csv,1087.0,1766.0,1234.4993,110.15969,1185.0,1172.0,1269.0,97.0,2.0170958,4.486847,3470,0
Frame_559.csv,1048.0,1706.0,1215.6564,104.4061,1168.0,1156.0,1250.0,94.0,1.9010397,3.8683598,3490,0
Frame_56.csv,1148.0,1719.0,1324.9371,100.77799,1280.0,1255.0,1363.0,108.0,1.5931534,2.2103434,3831,0
Frame_560.csv,1088.0,1758.0,1237.5133,112.11444,1185.0,1173.0,1277.0,104.0,1.8401763,3.5611455,3513,0
Frame_561.csv,1099.0,1788.0,1252.0261,113.83511,1210.0,1186.0,1284.0,98.0,1.9847332,4.259025,3407,0
Frame_562.csv,1087.0,1779.0,1237.0514,115.365875,1196.0,1172.0,1268.0,96.0,2.0179763,4.2763333,3457,0
Frame_563.csv,1068.0,1656.0,1214.1763,85.58665,1185.0,1163.0,1237.0,74.0,2.09857,5.1730328,3381,0
Frame_564.csv,1014.0,1758.0,1135.0983,67.62917,1117.0,1117.0,1139.0,22.0,4.6772223,29.66736,2201,1
